place	country	both	men	mrank	women	wrank
1 	 Monaco 	86.5 	83 	- 	90 	-
2 	 Japan 	84.6 	82 	- 	87.2 	-
3 	 Andorra 	84.2 	80.8 	- 	87.6 	-
4 	 Singapore 	84 	82 	- 	87 	-
5 	 Hong Kong 	83.8 	82 	- 	85.6 	-
6 	 San Marino 	83.5 	82 	- 	85 	-
7 	 Iceland 	83.3 	81.4 	- 	85.2 	-
8 	 Italy 	82.1 	75.4 	- 	85.8 	-
9 	 Australia 	83 	80.5 	- 	85.5 	-
10 	 Sweden 	83 	81.4 	- 	84.6 	-
11 	  Switzerland 	82.8 	80.4 	- 	85.4 	-
12 	 Canada 	82.5 	80.4 	- 	84.6 	-
13 	 France 	82.3 	79.4 	- 	85.2 	-
14 	 Israel 	82.1 	80.2 	- 	84 	-
15 	 Spain 	82 	79 	- 	85 	-
16 	 Luxembourg 	82 	79.5 	- 	84.5 	-
17 	 Norway 	81.9 	80.2 	- 	83.6 	-
18 	 New Zealand 	81.7 	79.4 	- 	84 	-
19 	 Austria 	81.5 	78.5 	- 	84.5 	15
20 	 Netherlands 	81.5 	79.5 	- 	83.5 	-
21 	 Ireland 	81.4 	79.2 	- 	83.6 	-
22 	 Cyprus 	81.2 	79.1 	- 	84.3 	-
23 	 Finland 	81 	78 	- 	84 	-
24 	 Germany 	81 	78.5 	- 	83.5 	26
25 	 Greece 	81 	78 	- 	84 	21
26 	 South Korea 	81 	77.5 	- 	84.5 	16
27 	 Malta 	81 	79.4 	- 	82.6 	31
28 	 Belgium 	81 	78.5 	- 	83.5 	27
29 	 United Kingdom 	81 	79.5 	- 	82.5 	-
30 	 Liechtenstein 	80.7 	77.8 	- 	83.6 	-
31 	 Taiwan 	80.6 	78 	- 	83.2 	-
32 	 Portugal 	80 	77 	- 	83 	-
33 	 Slovenia 	80 	77 	- 	83 	-
34 	 Costa Rica 	79.8 	78.3 	- 	81.3 	-
35 	 United States 	79.8 	77.4 	- 	82.2 	-
36 	 Chile 	79.5 	76.5 	- 	82.5 	-
37 	 Denmark 	79.5 	77 	- 	82 	-
38 	 Cuba 	79.4 	77.4 	- 	81.4 	-
40 	 United Arab Emirates 	79.2 	77.2 	- 	81.2 	-
41 	 Brunei 	79 	77.5 	- 	80.5 	-
42 	 Barbados 	78.5 	76.2 	- 	80.8 	-
43 	 Kuwait 	78.2 	75.5 	- 	80.5 	-
44 	 Czech Republic 	78 	75 	- 	81 	-
45 	 Panama 	77.8 	74.6 	- 	81 	-
46 	 Poland 	77 	72.5 	- 	81.5 	-
47 	 Croatia 	77.5 	74.5 	- 	80.5 	-
48 	 Dominica 	77.5 	75 	- 	80 	-
49 	 Uruguay 	77.3 	74.2 	- 	80.4 	-
50 	 Mexico 	77.2 	74.2 	- 	80.2 	-
51 	 Maldives 	77.2 	76.2 	- 	78.2 	-
52 	 Bahrain 	77 	75 	- 	79 	-
53 	 Belize 	76.9 	74.4 	- 	79.4 	-
54 	 Slovakia 	76.8 	73.4 	- 	80.2 	-
55 	 Bahamas 	76.5 	73.5 	- 	79.5 	-
56 	 Grenada 	76.5 	73 	- 	80 	-
57 	 Brazil 	76.2 	72.6 	- 	79.8 	-
58 	 Estonia 	76.1 	71 	- 	81.2 	-
59 	 Ecuador 	76 	73 	- 	79 	-
60 	 Argentina 	76 	73 	- 	79 	-
61 	 Saint Vincent and the Grenadines 	76 	73 	- 	79 	-
62 	 Oman 	76 	73 	- 	79 	-
63 	 Bosnia and Herzegovina 	76 	74 	- 	78 	-
64 	 Lithuania 	75.9 	70.8 	- 	81 	-
65 	 Antigua and Barbuda 	75.8 	74.4 	- 	77.2 	-
66 	 Malaysia 	75.7 	72.2 	- 	79.2 	-
67 	 Saint Lucia 	75.5 	71.5 	- 	79.5 	-
68 	 Qatar 	75.5 	73 	- 	78 	-
69 	 Mauritius 	75.2 	71 	- 	79.4 	-
70 	 Saint Kitts and Nevis 	75.1 	72.2 	- 	78 	-
71 	 Vietnam 	75 	73 	- 	77 	-
72 	 Hungary 	75 	71 	- 	79 	-
73 	 Venezuela 	75 	71.5 	- 	78.5 	-
74 	 Macedonia 	75 	73 	- 	77 	-
75 	 Syria 	75 	72 	- 	78 	-
76 	 Thailand 	74.9 	71.4 	- 	78.4 	-
77 	 Trinidad and Tobago 	70.8 	66.5 	- 	75.8 	-
78 	 Seychelles 	74.7 	71 	- 	78.4 	-
79 	 Sri Lanka 	74.7 	71.4 	- 	78 	-
80 	 Paraguay 	74.7 	71.6 	- 	77.8 	-
80 	 Peru 	74.7 	71.6 	- 	77.8 	-
81 	 El Salvador 	74.6 	70.8 	- 	78.4 	-
82 	 Jordan 	74.6 	72.4 	- 	76.8 	-
83 	 Colombia 	74.6 	72.4 	- 	76.8 	-
84 	 Tonga 	74.5 	73 	- 	76 	-
85 	 Cape Verde 	74.5 	70.6 	- 	78.4 	-
86 	 Latvia 	74.5 	69.5 	- 	78.5 	-
87 	 Nicaragua 	74.5 	71.5 	- 	77.5 	-
88 	 Libya 	74.5 	71 	- 	78 	-
89 	 Georgia 	74.5 	70.2 	- 	78.8 	-
90 	 Tunisia 	74.5 	72.5 	- 	76.5 	-
91 	 Montenegro 	74.5 	71.5 	- 	77.5 	-
92 	 Bulgaria 	74.5 	71 	- 	78 	-
93 	 Suriname 	74.5 	72 	- 	77 	-
94 	 Turkey 	74.4 	72.4 	- 	76.4 	-
95 	 Armenia 	74.4 	70.6 	- 	78.2 	-
96 	 Saudi Arabia 	74.3 	72.4 	- 	76.2 	-
97 	 China 	74.2 	72 	- 	76.4 	-
98 	 Samoa 	74 	71 	- 	77 	-
99 	 Lebanon 	74 	72.5 	- 	76.5 	-
100 	 Palau 	74 	70 	- 	78 	-
101 	 Romania 	74 	70 	- 	78 	-
102 	 Honduras 	74 	72 	- 	76 	-
103 	 Albania 	74 	72 	- 	76 	-
104 	 Serbia 	74 	71 	- 	77 	-
105 	 Jamaica 	74.8 	71.5 	- 	78.2 	-
106 	 Iran 	73.5 	72 	- 	75 	-
107 	 Marshall Islands 	73.5 	69 	- 	75 	-
108 	 Algeria 	73.3 	71.8 	- 	74.8 	-
109 	 Egypt 	73.2 	71.2 	- 	75.2 	-
110 	 Dominican Republic 	73.2 	72 	- 	74.4 	-
111 	 Fiji 	73 	70 	- 	76 	-
112 	 Philippines 	73 	70 	- 	76 	-
113 	 Solomon Islands 	73 	71 	- 	75 	-
114 	 Nauru 	73 	70 	- 	76 	-
115 	 Morocco 	73 	71 	- 	75 	-
116 	 Belarus 	72.5 	68.5 	- 	77.5 	-
117 	 Indonesia 	72 	68 	- 	76 	-
118 	 Sao Tome and Principe 	72 	68 	- 	76 	-
119 	 Vanuatu 	72 	71 	- 	74 	-
120 	 Azerbaijan 	71.5 	69.5 	- 	74.5 	-
121 	 Guatemala 	71.5 	68 	- 	75 	-
122 	 Ukraine 	71 	65.5 	- 	76.5 	-
123 	 Moldova 	71 	67 	- 	75 	-
124 	 Russia 	70 	64 	- 	76 	-
125 	 Bhutan 	70.8 	69.2 	- 	72.4 	-
126 	 Guyana 	70.5 	67.5 	- 	73.5 	-
127 	 Micronesia 	70 	68 	- 	72 	-
128 	 India 	70 	67 	- 	73 	-
129 	 Bangladesh 	70 	69.5 	- 	70.5 	-
130 	 Kyrgyzstan 	69 	65 	- 	72 	-
131 	 Iraq 	69 	65 	- 	72 	-
132 	 North Korea 	69 	66 	- 	72 	-
133 	   Nepal 	69 	68 	- 	70 	-
134 	 Mongolia 	69 	65 	- 	73 	-
135 	 Bolivia 	69 	67 	- 	71 	-
136 	 Uzbekistan 	68.5 	66 	- 	71 	-
137 	 Laos 	68 	66.5 	- 	69.5 	-
138 	 Myanmar 	68 	66 	- 	70 	-
139 	 Kazakhstan 	68 	63 	- 	73 	-
140 	 Comoros 	68 	65 	- 	71 	-
141 	 Kiribati 	68 	65 	- 	71 	-
142 	 Tajikistan 	68 	67 	- 	69 	-
143 	 Papua New Guinea 	67.5 	65 	- 	69 	-
144 	 Namibia 	67.2 	66.2 	- 	68.2 	-
145 	 Pakistan 	67 	66 	- 	68 	-
146 	 Turkmenistan 	66.5 	63 	- 	70 	-
147 	 Cambodia 	66 	64 	- 	68 	-
148 	 Ghana 	66 	64 	- 	68 	-
149 	 Madagascar 	66 	65 	- 	68 	-
150 	 Botswana 	66 	64.5 	- 	67.5 	-
151 	 Gabon 	64 	62 	- 	66 	-
152 	 Yemen 	64 	63 	- 	66 	-
153 	 Timor-Leste 	64 	63 	- 	65 	-
154 	 Senegal 	64 	62 	- 	66 	-
155 	 Haiti 	63 	62 	- 	64 	-
156 	 Sudan 	62 	60 	- 	64 	-
157 	 Eritrea 	61.5 	59 	- 	64 	-
158 	 Cameroon 	61.5 	59 	- 	64 	-
159 	 South Africa 	61 	59 	- 	63 	-
160 	 Djibouti 	61 	59 	- 	64 	-
161 	 Ethiopia 	60.5 	59 	- 	62 	-
162 	 Kenya 	60 	59 	- 	61 	-
163 	 Rwanda 	60 	59 	- 	61 	-
164 	 Afghanistan 	60 	59 	- 	61 	-
165 	 Mauritania 	59.5 	57 	- 	61 	-
166 	 Liberia 	59 	58 	- 	60 	-
167 	 Tanzania 	59 	58 	- 	61 	-
168 	 Benin 	59 	58 	- 	60 	-
169 	 Gambia 	59 	57.5 	- 	60.5 	-
170 	 Malawi 	58 	57.5 	- 	58.5 	-
171 	 Republic of the Congo 	58 	57 	- 	59 	-
172 	 Togo 	57 	55.5 	- 	58.5 	-
173 	 Burkina Faso 	56.5 	54 	- 	57 	-
174 	 C̫te d'Ivoire 	56.5 	55 	- 	58 	-
175 	 Uganda 	56 	54.5 	- 	57.5 	-
176 	 Niger 	56 	55 	- 	57 	-
177 	 Zambia 	55.5 	54 	- 	56 	-
178 	 Guinea 	55 	54 	- 	56 	-
179 	 Equatorial Guinea 	54 	53 	- 	55 	-
180 	 Zimbabwe 	54 	53 	- 	55 	-
181 	 Burundi 	53 	52 	- 	54 	-
182 	 Nigeria 	53 	52 	- 	54 	-
183 	 Mozambique 	52.5 	52 	- 	53 	-
184 	 Angola 	52 	51 	- 	53 	-
185 	 Chad 	51 	50.5 	- 	53.5 	-
186 	 Mali 	51 	50 	- 	53 	-
187 	 Lesotho 	51 	50 	- 	52 	-
188 	 Guinea Bissau 	50 	48 	- 	52 	-
189 	 Swaziland 	50 	49 	- 	51 	-
190 	 Somalia 	50 	48 	- 	52 	-
191 	 Democratic Republic of the Congo 	49.5 	48 	- 	51 	-
192 	 Central African Republic 	48.5 	47 	- 	50 	-
193 	 Sierra Leone 	47.5 	47 	- 	48 	-